	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_1092	k__Bacteria	 Proteobacteria	NA	NA	NA	NA	NA
ASV_1093	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__	s__
ASV_1094	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Other	g__	s__
ASV_1095	NA	NA	NA	NA	NA	NA	NA
ASV_1096	NA	NA	NA	NA	NA	NA	NA
ASV_1097	NA	NA	NA	NA	NA	NA	NA
ASV_1098	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1099	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1100	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1101	NA	NA	NA	NA	NA	NA	NA
ASV_1102	k__Bacteria	 Proteobacteria	c__Betaproteobacteria	o__Rhodocyclales	f__Rhodocyclaceae	g__KD1-23	s__
ASV_1103	NA	NA	NA	NA	NA	NA	NA
ASV_1104	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__Oscillospira	s__
ASV_1105	NA	NA	NA	NA	NA	NA	NA
ASV_1106	NA	NA	NA	NA	NA	NA	NA
ASV_1107	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1108	NA	NA	NA	NA	NA	NA	NA
ASV_1109	k__Archaea	NA	NA	NA	NA	NA	NA
ASV_1110	k__Bacteria	 Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__S24-7	g__	s__
ASV_1111	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1112	k__Bacteria	 Proteobacteria	c__Alphaproteobacteria	o__Rickettsiales	f__mitochondria	NA	NA
ASV_1113	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1114	NA	NA	NA	NA	NA	NA	NA
ASV_1115	k__Archaea	NA	NA	NA	NA	NA	NA
ASV_1116	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1117	k__Bacteria	 Proteobacteria	NA	NA	NA	NA	NA
ASV_1118	NA	NA	NA	NA	NA	NA	NA
ASV_1119	k__Archaea	NA	NA	NA	NA	NA	NA
ASV_1120	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1121	NA	NA	NA	NA	NA	NA	NA
ASV_1122	k__Bacteria	 Proteobacteria	NA	NA	NA	NA	NA
ASV_1123	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1124	k__Bacteria	 Proteobacteria	NA	NA	NA	NA	NA
ASV_1125	k__Bacteria	 Proteobacteria	NA	NA	NA	NA	NA
ASV_1126	k__Bacteria	 Proteobacteria	c__Alphaproteobacteria	o__Rickettsiales	f__mitochondria	NA	NA
ASV_1127	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1128	NA	NA	NA	NA	NA	NA	NA
ASV_1129	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1130	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1131	k__Bacteria	 Proteobacteria	c__Alphaproteobacteria	o__Rickettsiales	f__mitochondria	NA	NA
ASV_1132	k__Bacteria	 Proteobacteria	c__Alphaproteobacteria	o__Rickettsiales	f__mitochondria	NA	NA
ASV_1133	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1134	NA	NA	NA	NA	NA	NA	NA
ASV_1135	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1136	NA	NA	NA	NA	NA	NA	NA
ASV_1137	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1138	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1139	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1140	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1141	NA	NA	NA	NA	NA	NA	NA
ASV_1142	k__Bacteria	 Proteobacteria	c__Alphaproteobacteria	o__Rickettsiales	f__mitochondria	NA	NA
ASV_1143	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__SMB53	s__
ASV_1144	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	g__	s__
ASV_1145	k__Bacteria	 Proteobacteria	NA	NA	NA	NA	NA
ASV_1146	k__Bacteria	 Proteobacteria	NA	NA	NA	NA	NA
ASV_1147	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1148	k__Bacteria	 Proteobacteria	NA	NA	NA	NA	NA
ASV_1149	NA	NA	NA	NA	NA	NA	NA
ASV_1150	k__Bacteria	 Proteobacteria	c__Alphaproteobacteria	o__Rickettsiales	f__mitochondria	NA	NA
ASV_1151	NA	NA	NA	NA	NA	NA	NA
ASV_1152	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1153	k__Bacteria	 Proteobacteria	c__Alphaproteobacteria	o__Rickettsiales	f__mitochondria	NA	NA
ASV_1154	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1155	k__Bacteria	 Proteobacteria	c__Alphaproteobacteria	o__Rickettsiales	f__mitochondria	NA	NA
ASV_1156	k__Bacteria	 Proteobacteria	c__Alphaproteobacteria	o__Rickettsiales	f__mitochondria	NA	NA
ASV_1157	NA	NA	NA	NA	NA	NA	NA
ASV_1158	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1159	k__Archaea	NA	NA	NA	NA	NA	NA
ASV_1160	k__Bacteria	 Proteobacteria	NA	NA	NA	NA	NA
ASV_1161	k__Bacteria	 Proteobacteria	c__Alphaproteobacteria	o__Rickettsiales	f__mitochondria	NA	NA
ASV_1162	k__Bacteria	 Proteobacteria	NA	NA	NA	NA	NA
ASV_1163	NA	NA	NA	NA	NA	NA	NA
ASV_1164	k__Bacteria	 Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Propionibacteriaceae	g__Propionibacterium	s__acnes
ASV_1165	NA	NA	NA	NA	NA	NA	NA
ASV_1166	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1167	NA	NA	NA	NA	NA	NA	NA
ASV_1168	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1169	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1170	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1171	NA	NA	NA	NA	NA	NA	NA
ASV_1172	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1173	k__Bacteria	 Proteobacteria	c__Alphaproteobacteria	o__Rickettsiales	f__mitochondria	NA	NA
ASV_1174	k__Bacteria	 Proteobacteria	NA	NA	NA	NA	NA
ASV_1175	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1176	NA	NA	NA	NA	NA	NA	NA
ASV_1177	NA	NA	NA	NA	NA	NA	NA
ASV_1178	NA	NA	NA	NA	NA	NA	NA
ASV_1179	NA	NA	NA	NA	NA	NA	NA
ASV_1180	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1181	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1182	k__Bacteria	 Verrucomicrobia	c__Verrucomicrobiae	o__Verrucomicrobiales	f__Verrucomicrobiaceae	g__Akkermansia	s__muciniphila
ASV_1183	k__Bacteria	 Proteobacteria	c__Alphaproteobacteria	o__Rickettsiales	f__mitochondria	NA	NA
ASV_1184	k__Bacteria	 Proteobacteria	c__Alphaproteobacteria	o__Rickettsiales	f__mitochondria	NA	NA
ASV_1185	NA	NA	NA	NA	NA	NA	NA
ASV_1186	k__Bacteria	 Proteobacteria	c__Alphaproteobacteria	o__Rickettsiales	f__mitochondria	NA	NA
ASV_1187	NA	NA	NA	NA	NA	NA	NA
ASV_1188	NA	NA	NA	NA	NA	NA	NA
ASV_1189	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1190	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1191	NA	NA	NA	NA	NA	NA	NA
ASV_1192	NA	NA	NA	NA	NA	NA	NA
ASV_1193	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1194	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1195	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__Oscillospira	s__
ASV_1196	k__Bacteria	 Bacteroidetes	c__[Saprospirae]	o__[Saprospirales]	f__Chitinophagaceae	g__	s__
ASV_1197	k__Bacteria	 Proteobacteria	c__Alphaproteobacteria	o__Rickettsiales	f__mitochondria	NA	NA
ASV_1198	NA	NA	NA	NA	NA	NA	NA
ASV_1199	NA	NA	NA	NA	NA	NA	NA
ASV_1200	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1201	NA	NA	NA	NA	NA	NA	NA
ASV_1202	k__Bacteria	 Proteobacteria	NA	NA	NA	NA	NA
ASV_1203	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1204	NA	NA	NA	NA	NA	NA	NA
ASV_1205	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1206	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1207	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1208	NA	NA	NA	NA	NA	NA	NA
ASV_1209	NA	NA	NA	NA	NA	NA	NA
ASV_1210	NA	NA	NA	NA	NA	NA	NA
ASV_1211	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1212	NA	NA	NA	NA	NA	NA	NA
ASV_1213	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	g__Epulopiscium	s__
ASV_1214	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1215	k__Bacteria	 Proteobacteria	NA	NA	NA	NA	NA
ASV_1216	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1217	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1218	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1219	NA	NA	NA	NA	NA	NA	NA
ASV_1220	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	g__	s__
ASV_1221	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1222	k__Bacteria	 Proteobacteria	c__Alphaproteobacteria	o__Rickettsiales	f__mitochondria	NA	NA
ASV_1223	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1224	k__Bacteria	 Proteobacteria	c__Alphaproteobacteria	o__Rickettsiales	NA	NA	NA
ASV_1225	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1226	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1227	k__Bacteria	 Proteobacteria	c__Alphaproteobacteria	o__Rickettsiales	f__mitochondria	NA	NA
ASV_1228	NA	NA	NA	NA	NA	NA	NA
ASV_1229	NA	NA	NA	NA	NA	NA	NA
ASV_1230	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1231	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1232	NA	NA	NA	NA	NA	NA	NA
ASV_1233	NA	NA	NA	NA	NA	NA	NA
ASV_1234	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1235	NA	NA	NA	NA	NA	NA	NA
ASV_1236	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1237	NA	NA	NA	NA	NA	NA	NA
ASV_1238	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__SMB53	s__
ASV_1239	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1240	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1241	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1242	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1243	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__[Mogibacteriaceae]	g__	s__
ASV_1244	k__Bacteria	 Proteobacteria	c__Alphaproteobacteria	o__Rickettsiales	f__mitochondria	NA	NA
ASV_1245	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1246	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1247	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1248	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1249	NA	NA	NA	NA	NA	NA	NA
ASV_1250	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1251	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1252	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1253	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1254	NA	NA	NA	NA	NA	NA	NA
ASV_1255	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1256	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1257	k__Bacteria	 Proteobacteria	NA	NA	NA	NA	NA
ASV_1258	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1259	k__Bacteria	 Firmicutes	c__Erysipelotrichi	o__Erysipelotrichales	f__Erysipelotrichaceae	g__Clostridium	s__cocleatum
ASV_1260	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1261	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1262	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Dehalobacteriaceae	g__Dehalobacterium	s__
ASV_1263	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1264	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1265	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1266	NA	NA	NA	NA	NA	NA	NA
ASV_1267	NA	NA	NA	NA	NA	NA	NA
ASV_1268	k__Archaea	NA	NA	NA	NA	NA	NA
ASV_1269	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1270	k__Bacteria	 Proteobacteria	c__Alphaproteobacteria	o__Rickettsiales	f__mitochondria	NA	NA
ASV_1271	k__Bacteria	 Proteobacteria	c__Alphaproteobacteria	o__Rickettsiales	f__mitochondria	NA	NA
ASV_1272	NA	NA	NA	NA	NA	NA	NA
ASV_1273	k__Bacteria	 Proteobacteria	c__Alphaproteobacteria	o__Rickettsiales	f__mitochondria	NA	NA
ASV_1274	NA	NA	NA	NA	NA	NA	NA
ASV_1275	k__Bacteria	 Proteobacteria	c__Alphaproteobacteria	o__Rickettsiales	f__mitochondria	NA	NA
ASV_1276	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1277	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1278	k__Bacteria	 Proteobacteria	NA	NA	NA	NA	NA
ASV_1279	NA	NA	NA	NA	NA	NA	NA
ASV_1280	NA	NA	NA	NA	NA	NA	NA
ASV_1281	NA	NA	NA	NA	NA	NA	NA
ASV_1282	NA	NA	NA	NA	NA	NA	NA
ASV_1283	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1284	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1285	NA	NA	NA	NA	NA	NA	NA
ASV_1286	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1287	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1288	k__Bacteria	 Proteobacteria	NA	NA	NA	NA	NA
ASV_1289	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1290	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1291	NA	NA	NA	NA	NA	NA	NA
ASV_1292	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1293	NA	NA	NA	NA	NA	NA	NA
ASV_1294	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1295	NA	NA	NA	NA	NA	NA	NA
ASV_1296	k__Bacteria	 Proteobacteria	NA	NA	NA	NA	NA
ASV_1297	k__Bacteria	 Proteobacteria	c__Alphaproteobacteria	NA	NA	NA	NA
ASV_1298	NA	NA	NA	NA	NA	NA	NA
ASV_1299	NA	NA	NA	NA	NA	NA	NA
ASV_1300	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1301	k__Bacteria	 Proteobacteria	c__Alphaproteobacteria	o__Rickettsiales	f__mitochondria	NA	NA
ASV_1302	k__Bacteria	 Proteobacteria	c__Alphaproteobacteria	o__Rickettsiales	f__mitochondria	NA	NA
ASV_1303	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1304	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1305	k__Bacteria	 Proteobacteria	NA	NA	NA	NA	NA
ASV_1306	k__Archaea	NA	NA	NA	NA	NA	NA
ASV_1307	NA	NA	NA	NA	NA	NA	NA
ASV_1308	k__Bacteria	 Proteobacteria	c__Alphaproteobacteria	o__Rickettsiales	f__mitochondria	NA	NA
ASV_1309	k__Archaea	NA	NA	NA	NA	NA	NA
ASV_1310	k__Bacteria	 Proteobacteria	NA	NA	NA	NA	NA
ASV_1311	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1312	k__Bacteria	 Proteobacteria	c__Alphaproteobacteria	o__Rickettsiales	f__mitochondria	NA	NA
ASV_1313	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1314	NA	NA	NA	NA	NA	NA	NA
ASV_1315	NA	NA	NA	NA	NA	NA	NA
ASV_1316	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1317	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1318	NA	NA	NA	NA	NA	NA	NA
ASV_1319	k__Bacteria	 Proteobacteria	c__Alphaproteobacteria	o__Rickettsiales	f__mitochondria	NA	NA
ASV_1320	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1321	k__Bacteria	 Proteobacteria	c__Alphaproteobacteria	o__Rickettsiales	f__mitochondria	NA	NA
ASV_1322	NA	NA	NA	NA	NA	NA	NA
ASV_1323	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1324	NA	NA	NA	NA	NA	NA	NA
ASV_1325	k__Bacteria	 Proteobacteria	c__Alphaproteobacteria	o__Rickettsiales	f__mitochondria	NA	NA
ASV_1326	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1327	k__Bacteria	 Proteobacteria	c__Alphaproteobacteria	o__Rickettsiales	f__mitochondria	NA	NA
ASV_1328	k__Bacteria	 Proteobacteria	c__Alphaproteobacteria	o__Rickettsiales	f__mitochondria	NA	NA
ASV_1329	k__Bacteria	 Proteobacteria	NA	NA	NA	NA	NA
ASV_1330	NA	NA	NA	NA	NA	NA	NA
ASV_1331	k__Bacteria	 Proteobacteria	c__Alphaproteobacteria	o__Rickettsiales	f__mitochondria	NA	NA
ASV_1332	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1333	NA	NA	NA	NA	NA	NA	NA
ASV_1334	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1335	NA	NA	NA	NA	NA	NA	NA
ASV_1336	k__Bacteria	 Proteobacteria	c__Alphaproteobacteria	o__Rickettsiales	f__mitochondria	NA	NA
ASV_1337	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1338	k__Bacteria	 Proteobacteria	NA	NA	NA	NA	NA
ASV_1339	NA	NA	NA	NA	NA	NA	NA
ASV_1340	k__Archaea	NA	NA	NA	NA	NA	NA
ASV_1341	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1342	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1343	k__Bacteria	 Verrucomicrobia	c__Verrucomicrobiae	o__Verrucomicrobiales	f__Verrucomicrobiaceae	g__Akkermansia	s__muciniphila
ASV_1344	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1345	k__Bacteria	 Verrucomicrobia	NA	NA	NA	NA	NA
ASV_1346	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1347	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1348	k__Bacteria	 Proteobacteria	c__Alphaproteobacteria	NA	NA	NA	NA
ASV_1349	k__Bacteria	 Proteobacteria	c__Alphaproteobacteria	o__Rickettsiales	f__mitochondria	NA	NA
ASV_1350	NA	NA	NA	NA	NA	NA	NA
ASV_1351	NA	NA	NA	NA	NA	NA	NA
ASV_1352	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1353	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1354	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1355	NA	NA	NA	NA	NA	NA	NA
ASV_1356	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1357	NA	NA	NA	NA	NA	NA	NA
ASV_1358	k__Bacteria	 Actinobacteria	c__Coriobacteriia	o__Coriobacteriales	f__Coriobacteriaceae	g__	s__
ASV_1359	k__Bacteria	 Proteobacteria	NA	NA	NA	NA	NA
ASV_1360	k__Bacteria	 Proteobacteria	c__Alphaproteobacteria	NA	NA	NA	NA
ASV_1361	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1362	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1363	NA	NA	NA	NA	NA	NA	NA
ASV_1364	k__Bacteria	 Proteobacteria	c__Alphaproteobacteria	o__Rickettsiales	f__mitochondria	NA	NA
ASV_1365	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1366	NA	NA	NA	NA	NA	NA	NA
ASV_1367	NA	NA	NA	NA	NA	NA	NA
ASV_1368	k__Bacteria	 Proteobacteria	NA	NA	NA	NA	NA
ASV_1369	k__Bacteria	 Proteobacteria	c__Alphaproteobacteria	o__Rickettsiales	f__mitochondria	NA	NA
ASV_1370	k__Bacteria	 Proteobacteria	c__Alphaproteobacteria	NA	NA	NA	NA
ASV_1371	k__Bacteria	 Verrucomicrobia	c__Verrucomicrobiae	o__Verrucomicrobiales	f__Verrucomicrobiaceae	g__Akkermansia	s__muciniphila
ASV_1372	k__Bacteria	 Proteobacteria	NA	NA	NA	NA	NA
ASV_1373	NA	NA	NA	NA	NA	NA	NA
ASV_1374	NA	NA	NA	NA	NA	NA	NA
ASV_1375	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1376	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1377	k__Bacteria	 Proteobacteria	NA	NA	NA	NA	NA
ASV_1378	k__Bacteria	 Proteobacteria	NA	NA	NA	NA	NA
ASV_1379	k__Bacteria	 Proteobacteria	NA	NA	NA	NA	NA
ASV_1380	k__Bacteria	 Proteobacteria	c__Alphaproteobacteria	o__Rickettsiales	f__mitochondria	NA	NA
ASV_1381	NA	NA	NA	NA	NA	NA	NA
ASV_1382	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1383	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1384	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1385	NA	NA	NA	NA	NA	NA	NA
ASV_1386	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1387	k__Bacteria	 Proteobacteria	NA	NA	NA	NA	NA
ASV_1388	k__Bacteria	 Proteobacteria	NA	NA	NA	NA	NA
ASV_1389	k__Bacteria	 Proteobacteria	c__Alphaproteobacteria	o__Rickettsiales	f__mitochondria	NA	NA
ASV_1390	k__Bacteria	 Proteobacteria	c__Alphaproteobacteria	o__Rickettsiales	f__mitochondria	NA	NA
ASV_1391	k__Bacteria	 Proteobacteria	c__Alphaproteobacteria	o__Rickettsiales	f__mitochondria	NA	NA
ASV_1392	k__Bacteria	 Proteobacteria	c__Alphaproteobacteria	o__Rickettsiales	f__mitochondria	NA	NA
ASV_1393	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1394	k__Bacteria	 Proteobacteria	NA	NA	NA	NA	NA
ASV_1395	NA	NA	NA	NA	NA	NA	NA
ASV_1396	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1397	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__Butyricicoccus	s__pullicaecorum
ASV_1398	k__Bacteria	 Proteobacteria	c__Alphaproteobacteria	o__Rickettsiales	f__mitochondria	NA	NA
ASV_1399	NA	NA	NA	NA	NA	NA	NA
ASV_1400	k__Bacteria	 Proteobacteria	c__Alphaproteobacteria	o__Rickettsiales	f__mitochondria	NA	NA
ASV_1401	k__Bacteria	 Proteobacteria	NA	NA	NA	NA	NA
ASV_1402	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1403	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1404	k__Bacteria	 Proteobacteria	NA	NA	NA	NA	NA
ASV_1405	k__Bacteria	 Proteobacteria	c__Alphaproteobacteria	o__Rickettsiales	f__mitochondria	NA	NA
ASV_1406	k__Bacteria	 Proteobacteria	c__Alphaproteobacteria	o__Rickettsiales	f__mitochondria	NA	NA
ASV_1407	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1408	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1409	k__Bacteria	 Proteobacteria	NA	NA	NA	NA	NA
ASV_1410	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1411	k__Archaea	NA	NA	NA	NA	NA	NA
ASV_1412	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1413	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1414	k__Archaea	NA	NA	NA	NA	NA	NA
ASV_1415	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1416	k__Bacteria	 Proteobacteria	NA	NA	NA	NA	NA
ASV_1417	k__Bacteria	 Proteobacteria	NA	NA	NA	NA	NA
ASV_1418	NA	NA	NA	NA	NA	NA	NA
ASV_1419	k__Bacteria	 Proteobacteria	NA	NA	NA	NA	NA
ASV_1420	k__Bacteria	 Proteobacteria	c__Alphaproteobacteria	o__Rickettsiales	f__mitochondria	NA	NA
ASV_1421	k__Bacteria	 Proteobacteria	NA	NA	NA	NA	NA
ASV_1422	k__Bacteria	 Proteobacteria	c__Alphaproteobacteria	NA	NA	NA	NA
ASV_1423	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1424	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1425	k__Archaea	NA	NA	NA	NA	NA	NA
ASV_1426	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1427	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1428	NA	NA	NA	NA	NA	NA	NA
ASV_1429	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1430	NA	NA	NA	NA	NA	NA	NA
ASV_1431	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1432	NA	NA	NA	NA	NA	NA	NA
ASV_1433	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1434	k__Archaea	NA	NA	NA	NA	NA	NA
ASV_1435	NA	NA	NA	NA	NA	NA	NA
ASV_1436	NA	NA	NA	NA	NA	NA	NA
ASV_1437	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1438	k__Bacteria	 Proteobacteria	c__Alphaproteobacteria	o__Rickettsiales	f__mitochondria	NA	NA
ASV_1439	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1440	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1441	k__Bacteria	 Tenericutes	c__Mollicutes	o__RF39	f__Other	g__	s__
ASV_1442	NA	NA	NA	NA	NA	NA	NA
ASV_1443	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1444	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1445	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1446	NA	NA	NA	NA	NA	NA	NA
ASV_1447	NA	NA	NA	NA	NA	NA	NA
ASV_1448	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1449	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1450	k__Bacteria	 Proteobacteria	NA	NA	NA	NA	NA
ASV_1451	k__Bacteria	 Proteobacteria	NA	NA	NA	NA	NA
ASV_1452	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1453	k__Bacteria	 Proteobacteria	NA	NA	NA	NA	NA
ASV_1454	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1455	NA	NA	NA	NA	NA	NA	NA
ASV_1456	NA	NA	NA	NA	NA	NA	NA
