sampleID	treatment	wat_ccl2	wat_f480	wat_TNFa	wat_IL6	liver_cyp27a1	liver_cyp8b1	liver_Bsep	liver_shp	liver_cyp7a1	liver_fxr	liver_srebp1c	liver_nqo1	liver_scd1	liver_tnfa	liver_Il1b	colon_IL22	wat_il1b	wat_cox2	colon_mucin	colon_occludin_fc	colon_jam3_fc	colon_zo1_fc	colon_cox2_fc	colon_il6_fc	colon_claudin2_fc
22	2.XN	1.69	2.02	1.28	2.59	2.82	3.58	2.31	3.19	3.5	1.72	2.77	3.55	1.09	2.6	3.14	0.41	1.53	0.48	1.62	1.81	1.58	0.93	5.94	1.86	0.6
23	2.XN	0.04	0.04	0.11	0.08	1.32	1.23	0.61	5.3	3.45	2.14	2.1	3.02	2.11	0.56	0.9	0.35	0.2	1.25	1.27	1.5	1.35	0.39	1.42	1.5	0.64
24	2.XN	1.58	3.82	1.67	1.46	0.86	0.82	0.54	0.93	0.76	0.83	1.53	2.31	2.3	1.29	0.87	0.68	1.23	0.61	1.43	1.33	1.43	0.63	1.55	0.28	0.28
25	3.DXN	0.19	0.15	0.31	0.34	1.09	1.24	0.99	5.68	1.54	1.26	2.14	1	2.85	0.66	1.02	0.47	1.11	3.43	2.04	2.12	1.06	0.94	2.25	0.92	1.25
26	3.DXN	2.07	2.81	1.53	0.97	0.57	0.74	0.44	3.35	0.3	0.68	0.91	0.91	1.94	0.57	0.3	0.82	1.18	0.9	1.46	1.09	0.91	0.85	3.66	0.45	0.43
27	3.DXN	2.33	2.27	1.37	1.43	0.52	0.66	0.39	1.5	0.3	0.55	0.89	0.94	2.67	0.3	0.26	0.91	1.66	1.95	0.92	0.86	1.27	1.06	2.38	0.94	0.07
28	3.DXN	2.13	1.53	1.34	0.94	1.04	1.19	0.84	3.8	0.5	1.16	1.96	1.27	1.27	1.6	0.75	0.41	2.31	1.73	0.47	2.15	1.16	0.8	1.33	0.49	1.35
29	3.DXN	1.43	2.37	1.63	1.15	1.04	1.1	0.67	2.14	2.88	1.56	1.8	3.33	7.67	1.97	2.18	0.49	2.13	0.55	0.68	1.19	0.75	0.66	0.82	1.9	0.55
30	3.DXN	1.23	1.2	1.02	1.55	1.32	1.32	0.96	9.22	1.89	1.68	2.07	3.13	3.09	1.6	1.57	0.49	2.17	0.87	1.78	1.32	1.44	0.68	3.27	3.54	0.49
31	3.DXN	0.43	0.29	0.24	0.2	1.24	2.04	0.89	3.8	4.22	1.9	3.01	1.7	0.44	0.76	0.44	0.24	0.57	2.17	1.95	2.61	1.95	0.54	2.5	1.19	1.93
32	3.DXN	0.76	0.84	0.8	0.79	2.43	2.64	1.49	15.62	3.13	2.25	3.08	4.43	1.51	1.96	1.45	0.21	0.68	0.23	0.26	2.56	1.83	0.57	1.41	1.33	0.74
33	3.DXN	0.33	0.33	0.63	1.06	0.63	0.84	0.43	0.98	2.32	1.1	10.13	1.04	0.67	1.17	1.17	0.18	4.08	0.7	2.67	2.78	2.58	0.59	2.95	1.45	0.46
34	3.DXN	1.5	1.66	1.28	0.9	0.66	0.99	0.42	2.09	2.76	1.34	2.09	1.98	2.62	1.58	0.96	0.15	1.13	0.65	1.38	1.9	1.54	0.6	2.81	0.62	1.58
35	3.DXN	0.13	0.13	0.27	0.62	1.06	1.6	0.55	4.3	2.94	1.51	2.64	1.53	0.68	3.53	1.5	0.44	0.48	1.64	0.7	1.04	1.1	0.88	1.04	1.11	0.38
36	3.DXN	1.26	1.66	1.59	0.8	0.62	0.79	0.4	4.58	3.99	1.46	5.24	2.65	2.2	0.33	0.45	0.61	0.62	0.65	0.38	1.13	1.46	0.93	1.17	0.31	0.61
37	4.TXN	0.35	0.2	0.46	0.78	0.97	1.39	0.73	4.16	0.97	0.99	1.6	1	1.39	0.84	0.9	0.42	1.27	3.18	1.72	1.75	0.83	0.86	2.57	0.99	0.82
38	4.TXN	0.11	0.07	0.15	0.36	1.34	2.02	0.87	9.82	2.82	1.81	2.83	2.05	2.41	1.12	0.75	0.23	3.58	0.62	1.82	1.79	1.34	0.62	2.6	0.98	0.42
39	4.TXN	0.58	0.47	0.95	0.37	0.58	0.72	0.39	3.4	0.72	0.83	1.54	1.64	2.08	0.28	0.31	0.32	0.76	2.19	1.35	3.22	1.66	0.75	1.68	0.43	0.95
40	4.TXN	0.34	0.17	0.42	0.47	0.62	0.97	0.44	2.96	1.08	1.06	1.36	1.41	0.52	0.64	0.54	0.21	0.87	1.91	1.81	2.11	1.36	0.52	4.2	0.49	1
41	4.TXN	0.36	0.28	0.69	0.9	0.8	1.31	0.39	1.19	4.71	1.55	2.14	2.15	0.7	1.59	0.79	0.17	0.91	0.56	2.1	2.31	1.85	0.53	9.01	1.28	0.83
42	4.TXN	0.12	0.09	0.38	0.05	0.69	1.2	0.44	6.8	4.07	1.48	4.2	1.55	0.6	0.29	0.36	0.33	0.48	4.08	2.49	3.07	1.96	0.83	2.31	1.71	0.51
43	4.TXN	0.32	0.21	0.36	0.18	0.86	1.17	0.54	6.94	3.38	1.48	3.58	2.74	0.63	0.7	0.48	0.52	0.82	2.73	2.58	1.86	1.29	0.75	3.81	0.41	1.55
44	4.TXN	0.95	0.68	1.12	0.92	1.35	1.71	0.92	2.2	1.44	1.03	1.95	1.09	0.33	0.87	0.5	0.5	1.2	0.73	1.82	1.04	1.34	0.88	6.19	0.55	1.33
45	4.TXN	0.23	0.16	0.32	0.39	1.07	1.55	0.68	6.3	4.37	1.85	1.65	3.55	3.34	0.7	1.62	0.97	0.66	1.16	1.39	1.05	1.12	0.89	4.44	0.43	1.48
46	4.TXN	1.06	1.07	1.44	0.83	0.86	1.4	0.46	0.29	2.23	0.8	0.82	0.86	1.25	0.67	0.76	0.64	1.16	0.51	1.68	1.55	1.42	1.07	5.54	1.72	0.51
48	4.TXN	0.73	0.62	0.76	0.57	0.78	0.65	0.43	1.76	2.42	1.7	2.6	1.4	0.5	0.59	0.31	0.23	0.42	0.8	0.29	0.84	0.43	0.65	2.33	3.24	0.18
