	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	X	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_168	8.62148115660617	-4.51857736666548	0.605144013656558	-7.46694549510976	8.2077745105869e-14	1.44808593151069e-12	ASV_168	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Other	g__	s__
ASV_140	13.808182795156	-4.46676904495378	0.60035951109363	-7.44015704326396	1.00565674610246e-13	1.6936173837771e-12	ASV_140	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__Oscillospira	s__guilliermondii
ASV_160	9.8411979477703	3.95685642474482	0.53177621386983	7.44083003628553	1.00054611190345e-13	1.6936173837771e-12	ASV_160	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	NA	NA
ASV_175	8.34638250753349	-4.46166235670421	0.600286405370795	-7.43255605455241	1.06518937447436e-13	1.75401183663444e-12	ASV_175	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	g__	s__
ASV_76	70.4909248823202	-3.68586851500714	0.497768192166112	-7.40478916293854	1.31358999301418e-13	2.11602214092067e-12	ASV_76	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__Ruminococcus	s__
ASV_93	45.2521150586499	6.88908134903761	0.941446642719345	7.31754837336152	2.52542115096568e-13	3.98156824013951e-12	ASV_93	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	g__	s__
ASV_108	27.303541464586	-3.86354696735651	0.5427643959629	-7.1182763572808	1.0928508177275e-12	1.68708844986683e-11	ASV_108	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__Ruminococcus	s__
ASV_214	6.05306326553396	-3.88114054539605	0.549142712021386	-7.06763553523206	1.57595797735619e-12	2.38323441065497e-11	ASV_214	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	g__Coprococcus	s__
ASV_79	68.6579046796617	-3.01867583147684	0.431546762329586	-6.99501443408208	2.65231621315514e-12	3.93073262789592e-11	ASV_79	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	g__[Ruminococcus]	s__gnavus
ASV_204	6.53334396680674	-4.22383358960398	0.608965242522701	-6.93608320255901	4.03120236416455e-12	5.85709990558025e-11	ASV_204	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__02d06	s__
ASV_117	19.9497481453743	-3.64944324179428	0.528016292706071	-6.91161104724812	4.79180207538325e-12	6.82831795742113e-11	ASV_117	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	NA	NA
ASV_104	28.2054784329301	-4.86111591671948	0.703646686396209	-6.90846132114418	4.89938528078743e-12	6.84989526993111e-11	ASV_104	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__Oscillospira	s__
ASV_205	6.54604853062271	-3.71829615894602	0.540163647916805	-6.88364752660792	5.83391203306596e-12	8.00542373426273e-11	ASV_205	k__Bacteria	 Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__S24-7	g__	s__
ASV_221	5.55919728015542	-4.14966915995952	0.6093301238198	-6.81021501767525	9.74529803284941e-12	1.31295742588026e-10	ASV_221	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	g__	s__
ASV_193	7.16556798566144	-3.74414646476757	0.555480302762401	-6.74037665448791	1.57976565152783e-11	2.09036847818237e-10	ASV_193	k__Bacteria	 Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__S24-7	g__	s__
ASV_233	5.25076338090158	-3.53885369880777	0.526851599772379	-6.71698387237829	1.85524493426851e-11	2.41181841454906e-10	ASV_233	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__Ruminococcus	s__
ASV_218	5.76960554102175	-3.45106681890569	0.514090399391273	-6.71295714331965	1.90719143702653e-11	2.43660147385631e-10	ASV_218	k__Bacteria	 Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__S24-7	g__	s__
ASV_120	19.9950842788199	-3.76941152699649	0.568208521648184	-6.63385250904488	3.27036623287827e-11	4.1073582687505e-10	ASV_120	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	g__[Ruminococcus]	s__gnavus
ASV_96	40.4059659737426	5.50170572640727	0.837530551726274	6.56896123379313	5.06674719611703e-11	6.25743278720453e-10	ASV_96	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	g__	s__
ASV_62	104.721195523213	-3.26219018514182	0.498786480287967	-6.54025382415827	6.14145109305597e-11	7.3400246128298e-10	ASV_62	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	g__Dorea	s__
ASV_98	39.3182473483585	-4.04202780441485	0.617856351392066	-6.54201869950503	6.06939114688296e-11	7.3400246128298e-10	ASV_98	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Other	g__	s__
ASV_212	6.12225751866257	-3.50371125715228	0.539252195650258	-6.49735186136299	8.17461197382528e-11	9.61490075016593e-10	ASV_212	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__Anaerotruncus	s__
ASV_169	8.60815804492229	-4.63568443924025	0.736894718196224	-6.29083683838515	3.15759087386001e-10	3.65589818364104e-09	ASV_169	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	NA	NA	NA
ASV_34	213.960011687413	-4.20464232426678	0.673556042083015	-6.24245357708269	4.30759647503364e-10	4.91065998153834e-09	ASV_34	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__Oscillospira	s__
ASV_252	4.80913439473602	-3.36394683696025	0.540730657342855	-6.22111358266728	4.93638630224214e-10	5.54221553024458e-09	ASV_252	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	NA	NA
ASV_243	4.99290114222897	-3.25346629353193	0.524290794719561	-6.2054614086295	5.45366535549782e-10	6.03159108719983e-09	ASV_243	k__Bacteria	 Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__S24-7	g__	s__
ASV_147	13.2010787672392	-4.46821383432807	0.721833355086201	-6.19009055600441	6.01296608751123e-10	6.55236451594974e-09	ASV_147	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__Oscillospira	s__
ASV_145	13.5221104555366	3.44977190027831	0.566002403423084	6.0949774760932	1.0945286154421e-09	1.15863672006085e-08	ASV_145	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	g__Lachnospira	s__
ASV_255	4.76225259127407	-3.80346351270629	0.623817505288021	-6.09707723887967	1.08025331595161e-09	1.15863672006085e-08	ASV_255	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__	s__
ASV_241	5.02872197094227	-3.3404757868756	0.548399063541359	-6.09132292331799	1.1198140529168e-09	1.1687073425512e-08	ASV_241	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__Oscillospira	s__
ASV_234	5.26123549190214	-3.24141384530312	0.535746726476186	-6.05027279704191	1.44600764475307e-09	1.48818286772504e-08	ASV_234	k__Bacteria	 Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__S24-7	g__	s__
ASV_284	3.94535034898723	-3.43948930012025	0.58154509135089	-5.91439830079307	3.3309096590338e-09	3.3811014484165e-08	ASV_284	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	g__	s__
ASV_209	6.25604595654015	-3.26523721294473	0.552994891918503	-5.90464262991048	3.53412001538875e-09	3.53889585324738e-08	ASV_209	k__Bacteria	 Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__S24-7	g__	s__
ASV_32	301.665664873695	2.24600907870644	0.38174510105626	5.88353084949066	4.0160519730622e-09	3.96785934938545e-08	ASV_32	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__Oscillospira	s__guilliermondii
ASV_111	26.2887383712114	3.71812648027112	0.633946890375531	5.86504411760521	4.49013294428296e-09	4.37787962067588e-08	ASV_111	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	g__	s__
ASV_19	515.890526931029	-4.64248166141151	0.80504753814013	-5.76671741911895	8.08304125936521e-09	7.77861503011639e-08	ASV_19	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	g__	s__
ASV_208	6.3815446825099	3.32800994656266	0.578089696796217	5.75690929107808	8.56679133763711e-09	8.13845177075526e-08	ASV_208	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Other	g__	s__
ASV_121	19.8849640482777	3.02191890925507	0.532295678963155	5.67714341612051	1.36962639242284e-08	1.28467488200674e-07	ASV_121	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	g__Coprococcus	s__
ASV_59	113.478233680258	4.49058065368989	0.793491920517443	5.65926449605377	1.52023105516076e-08	1.40811401484265e-07	ASV_59	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	g__Moryella	s__
ASV_112	25.2278033116299	-4.48350956779257	0.794575835701201	-5.64264525340863	1.67457153530528e-08	1.53192284896446e-07	ASV_112	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__Butyricicoccus	s__pullicaecorum
ASV_194	7.19776906398618	3.24367581236412	0.58109253338801	5.58202975600486	2.37727691842599e-08	2.148246581163e-07	ASV_194	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	g__	s__
ASV_258	4.59112220662974	-3.14972668197058	0.568352144789465	-5.54185765083606	2.99279559050912e-08	2.67188136453887e-07	ASV_258	k__Bacteria	 Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__S24-7	g__	s__
ASV_173	8.51430648383148	3.19485673964064	0.57916851807873	5.51628177277126	3.46246961712318e-08	3.05439284081937e-07	ASV_173	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	g__Coprococcus	s__
ASV_245	4.97098505765857	-2.99501569288868	0.545531712445411	-5.49008540578359	4.01739436669732e-08	3.50222261849731e-07	ASV_245	k__Bacteria	 Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__S24-7	g__	s__
ASV_275	4.13007395424126	-2.87173414779134	0.526972565155717	-5.4494945992924	5.05131570787792e-08	4.35235458085761e-07	ASV_275	k__Bacteria	 Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__S24-7	g__	s__
ASV_346	3.24156643178897	-2.8552661963622	0.524420580950539	-5.44461125302688	5.1918646518291e-08	4.42203644483375e-07	ASV_346	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Other	g__	s__
ASV_336	3.329868501736	-2.78790484360801	0.517549191259848	-5.38674369642338	7.17456296971864e-08	6.04130813700172e-07	ASV_336	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_172	8.49143132265782	-3.05353403878779	0.568521861054278	-5.37100549330725	7.82988238103399e-08	6.51903690375976e-07	ASV_172	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	g__[Ruminococcus]	s__gnavus
ASV_257	4.60303393418624	-3.76727390233478	0.702065032666174	-5.36598993974692	8.05064289830607e-08	6.55552350290637e-07	ASV_257	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Other	g__	s__
ASV_340	3.28530995514538	-2.70919504708049	0.504713309134604	-5.36778998700421	7.97072881298646e-08	6.55552350290637e-07	ASV_340	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Other	g__	s__
ASV_300	3.77134023938895	-2.83784918512345	0.529405911984074	-5.3604410545548	8.30190127955047e-08	6.68664005233359e-07	ASV_300	k__Bacteria	 Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__S24-7	g__	s__
ASV_279	3.99602529991459	-2.70331728627069	0.508682114696917	-5.31435489506325	1.07035833867014e-07	8.5283390210169e-07	ASV_279	k__Bacteria	 Firmicutes	NA	NA	NA	NA	NA
ASV_364	2.86348060234325	-2.76238098641966	0.523870169974071	-5.27302592273269	1.34192600105492e-07	1.05783741146989e-06	ASV_364	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	g__	s__
ASV_240	5.08191576257045	-2.52238821332022	0.483605276835523	-5.21579960794783	1.83025961506651e-07	1.42760249975188e-06	ASV_240	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	NA	NA	NA
ASV_162	9.4983556697675	-3.29727834254661	0.633982565777245	-5.20089750181732	1.98328460735014e-07	1.51506587015098e-06	ASV_162	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	NA	NA	NA
ASV_301	3.75235439393859	-2.68115457557225	0.51550712187139	-5.20100394702432	1.98214892327672e-07	1.51506587015098e-06	ASV_301	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_304	3.70498830221263	3.57650172533407	0.688428733189031	5.1951662574665	2.04536963564525e-07	1.54654989797258e-06	ASV_304	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__Anaerotruncus	s__
ASV_273	4.21669702206256	-2.96441007555207	0.571376720805244	-5.18818840112056	2.12349712422971e-07	1.58661496045955e-06	ASV_273	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_277	4.06327827143607	-2.71741834300881	0.523926187751326	-5.18664347486023	2.14118078334622e-07	1.58661496045955e-06	ASV_277	k__Bacteria	 Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__S24-7	g__	s__
ASV_125	17.6708500979058	4.07396465079365	0.794574255863802	5.12722960847094	2.94036832840766e-07	2.15724052608918e-06	ASV_125	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	NA	NA
ASV_229	5.41256942944113	-2.94927811007094	0.576493600408613	-5.11589045911441	3.12264252984596e-07	2.26850795550574e-06	ASV_229	k__Bacteria	 Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__S24-7	g__	s__
ASV_294	3.83907717906394	-2.71732778671213	0.531470274451585	-5.11284998867734	3.17334298293758e-07	2.28295839840461e-06	ASV_294	k__Bacteria	 Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__S24-7	g__	s__
ASV_27	346.389495777927	4.10650265242631	0.803517837189717	5.11065524915875	3.21043364689591e-07	2.28544841545288e-06	ASV_27	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__Oscillospira	s__
ASV_287	3.90747147880417	-2.69943265938813	0.528366937229254	-5.109011312373	3.23848965752432e-07	2.28544841545288e-06	ASV_287	k__Bacteria	 Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__S24-7	g__	s__
ASV_122	19.0619598354803	-2.55434885401636	0.501871820659583	-5.08964390680336	3.58736529799487e-07	2.50777140171151e-06	ASV_122	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__Oscillospira	s__
ASV_345	3.23956006065876	-3.19034802408164	0.628061428262227	-5.07967514086793	3.78080827353396e-07	2.61829806606417e-06	ASV_345	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_238	5.25462112800202	3.50107213173906	0.689921091724634	5.07459791233116	3.88316241811858e-07	2.66428088132025e-06	ASV_238	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	NA	NA
ASV_58	127.710279237575	4.61988691816981	0.912756231123697	5.06146850674714	4.16039469533967e-07	2.82830501765752e-06	ASV_58	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__Oscillospira	s__
ASV_9	1018.42061543109	2.22416046785887	0.441452292768366	5.03828047626861	4.69732761240536e-07	3.16429069162943e-06	ASV_9	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Other	g__	s__
ASV_135	14.7358679097112	-3.68864290130256	0.734172632919041	-5.02421737873376	5.05489574593047e-07	3.37448445741845e-06	ASV_135	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__	s__
ASV_333	3.39257922026085	2.42719364226513	0.484993567004707	5.00458935415442	5.59812403053156e-07	3.7037588451999e-06	ASV_333	k__Bacteria	 Firmicutes	c__Erysipelotrichi	o__Erysipelotrichales	f__Erysipelotrichaceae	g__Clostridium	s__cocleatum
ASV_288	3.88428803276999	-2.71710129952022	0.5459062652526	-4.97723047428843	6.45005039801427e-07	4.22963481852086e-06	ASV_288	k__Bacteria	 Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__S24-7	g__	s__
ASV_266	4.43693413695829	-2.86580063846361	0.585090666342061	-4.89804538564999	9.67946807177392e-07	6.29165424665305e-06	ASV_266	k__Bacteria	 Firmicutes	c__Bacilli	o__Turicibacterales	f__Turicibacteraceae	g__Turicibacter	s__
ASV_253	4.83830457321019	3.08582291985201	0.632261256426068	4.88061365217125	1.05756245346096e-06	6.8022656481745e-06	ASV_253	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	NA	NA
ASV_323	3.48197861323583	-2.87132886491612	0.588476655438645	-4.87925704168478	1.06486209876956e-06	6.8022656481745e-06	ASV_323	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	NA	NA
